periodo,cuentas_por_cobrar_comerciales_y_otras,efectivo_y_equivalentes,inventarios,propiedades_planta_equipo,activo_corriente,activo_no_corriente,activo_total,otras_provisiones,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio,ventas,costo_de_ventas,gastos_financieros,utilidad_operativa,utilidad_antes_de_impuestos,utilidad_neta,dias_cobro,dias_inventario,razon_acida,razon_super_acida,pasivo_no_corriente_sobre_activo,pasivo_no_corriente_sobre_patrimonio,pasivo_sobre_activos,patrimonio_sobre_activos,periodo_de_intereses_ganados,razon_de_flujo_de_efectivo,margen_antes_de_impuesto,margen_bruto,margen_de_utilidad,margen_operativo,apalancamiento_financiero,efecto_fiscal,margen_neto,multiplicador_del_capital,roe,roe_extendido,rotacion_de_activos,rotacion_de_activo_total,rotacion_de_cuentas_por_cobrar_comerciales_y_otras,rotacion_de_inventarios,rotacion_de_propiedades_planta_equipo
2015,33970,10948,55606,480478,160814,515706,676520,1720,91250,95162,186412,490108,300096,-260631,-6781,64367,54273,45377,41.316945244188524,77.8732767782804,1.1529643835616439,0.7806904109589041,0.1406639862827411,0.19416536763325634,0.27554543842015017,0.7244545615798498,-9.49225777908863,0.47843287671232876,0.18085212731925784,1.8684920825335893,0.15120828001706121,0.21448803049690765,1.1638832253525413,0.836087925856319,0.15120828001706121,1.380348821076171,0.09258571580141521,0.0925857158014152,0.44358777271921007,0.44358777271921007,8.834147777450692,4.687102111282955,0.6245780243840509
2016,28292,12721,68779,475297,179748,540760,720508,2046,97980,84688,182668,537840,377322,-327909,-4598,86085,90014,64644,27.36808349367384,76.55884711917025,1.1325678709940805,0.8438150642988365,0.11753929172195174,0.15745946749962814,0.2535266783991295,0.7464733216008705,-18.72227055241409,0.6388854868340478,0.2385601687683199,1.8690428864471194,0.17132316695024408,0.2281473118450554,1.4007746908375056,0.7181549536738729,0.17132316695024408,1.3396326044920421,0.12019187862561356,0.12019187862561354,0.523688841761646,0.5401781496147536,12.120458706755324,5.272484624351811,0.789562397007664
2017,18502,6604,71954,471481,187687,541364,729051,2170,87550,111190,198740,530311,271289,-237396,-2720,9959,13933,11171,24.893121357666548,110.63038130381304,1.3219074814391776,1.1105768132495717,0.15251333582972934,0.2096694203967106,0.27260095658602757,0.7273990434139724,-3.6613970588235296,0.10280982295830954,0.05135851435185356,1.8750668106705395,0.041177489688118574,0.03670992926362661,1.9233405109109463,0.8017655924782889,0.041177489688118574,1.3747612250170183,0.021064997708891572,0.021064997708891572,0.37211251339069557,0.3828018620192382,10.077101183695707,3.6273384299604254,0.5702319695976055
2018,13920,9350,57981,455487,177095,572508,749603,2346,114020,91868,205888,543715,259742,-224044,-3606,17261,17581,15404,19.560948941642092,94.45941422220635,1.0446763725662165,0.9225925276267322,0.12255553939885512,0.16896351949090976,0.27466272146723,0.72533727853277,-4.7867443150305045,0.1145237677600421,0.06768639650114344,1.8625636208237404,0.059305002656482204,0.06645440475548814,1.4042279817590795,0.8761731414595302,0.059305002656482204,1.3786689717958858,0.028331019008120066,0.028331019008120066,0.3465060838870709,0.3612944685817138,10.97300494275696,3.5238125196602703,0.5518373989439875
2019,43437,22044,32524,441902,170499,594631,765130,3714,93553,94658,188211,576919,319125,-251904,-4923,38491,45312,35426,49.68117508813161,47.12612741361789,1.4748324479172235,1.0105287911665046,0.12371492426123665,0.16407502613018465,0.245985649497471,0.754014350502529,-7.818606540727199,0.3389736299210073,0.1419882491186839,1.789358401880141,0.11100979240109675,0.12061417939678809,1.5612570983013845,0.7818237994350282,0.11100979240109675,1.3262347053919181,0.061405500598870906,0.061405500598870885,0.417085985388104,0.43826075062376196,11.55237074738816,4.390958151469091,0.6863951269978857
2020,28196,22012,48529,440297,169859,658799,828658,3281,111583,100918,212501,616157,335672,-233001,-3749,74934,89443,79544,30.659512857789746,76.02149776181218,1.0873520159880985,0.8346611939094665,0.12178486178857864,0.16378617787349653,0.25643993058656284,0.7435600694134371,-19.987730061349694,0.6834643270032174,0.2664595200076265,1.6941329631306752,0.23696942253151887,0.22323577778307396,1.605282170612626,0.8893261630312043,0.23696942253151887,1.3448812559136714,0.1290969671690819,0.12909696716908192,0.40507905553316326,0.45061987215486404,12.109597936470715,4.168510881913571,0.7284174496246214
