periodo,cuentas_por_cobrar_comerciales_y_otras,efectivo_y_equivalentes,inventarios,propiedades_planta_equipo,activo_corriente,activo_no_corriente,activo_total,otras_provisiones,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio,ventas,costo_de_ventas,gastos_financieros,utilidad_operativa,utilidad_antes_de_impuestos,utilidad_neta,dias_cobro,dias_inventario,razon_acida,razon_corriente,razon_de_conversion,razon_super_acida,pasivo_no_corriente_sobre_activo,pasivo_no_corriente_sobre_patrimonio,pasivo_sobre_activos,patrimonio_sobre_activos,periodo_de_intereses_ganados,razon_de_flujo_de_efectivo,margen_antes_de_impuesto,margen_bruto,margen_de_utilidad_neta,margen_operativo,apalancamiento_financiero,efecto_fiscal,margen_neto,multiplicador_del_capital,roe,roe_extendido,rotacion_de_activos,rotacion_de_activo_promedio,rotacion_de_cuentas_por_cobrar_comerciales_y_otras,rotacion_de_inventarios,rotacion_de_propiedades_planta_equipo
30/12/2022,11985,360437,176168,176168,1288151,7648929,8937080,4748,5906451,2070711,7977162,959918,1314454,-264267,-38174,734051,145369,100825,3.328016804,243.3195215,0.188265847,0.218092218,0.013677558,0.18623671,0.231698832,2.157174884,0.89259154,0.10740846,-19.22908262,0.016266452,0.110592687,1.201046975,0.076704852,0.55844556,1.843771418,0.693579787,0.076704852,9.310253584,0.105035013,0.105035013,0.147078688,0.147078688,109.674927,1.500085146,7.461366423
30/12/2021,7173,387003,157758,157758,1434940,6509787,7944727,4820,5473993,1580082,7054075,890652,1089216,-161709,-34359,624934,109877,74834,2.403696787,356.0820363,0.233318165,0.262137712,0.006750402,0.232007787,0.198884367,1.774073375,0.887893945,0.112106055,-18.18836404,0.012790298,0.100877145,1.148463666,0.068704463,0.573746621,1.568352104,0.681070652,0.068704463,8.920124807,0.084021593,0.084021593,0.137099236,0.129040215,113.7087379,0.96853195,6.523696867
30/12/2020,5297,246969,142618,142618,1164058,5879713,7043771,5014,5088354,1139200,6227554,816217,973390,-201332,-29342,513204,52899,35311,1.986259362,258.5558679,0.20074075,0.228769068,0.007682128,0.199699746,0.16173155,1.395707269,0.884122156,0.115877844,-17.49042328,0.005954185,0.054345124,1.206835903,0.036276313,0.527233688,0.889522672,0.667517344,0.036276313,8.629777375,0.04326178,0.04326178,0.138191602,0.122052224,119.4099366,1.267450645,6.127807716
30/12/2019,6724,232233,141045,141045,902604,5304069,6206673,7890,4742003,683654,5425657,781016,1057562,-200268,-29383,686375,209073,138797,2.32067718,257.062661,0.160598591,0.190342351,0.009027671,0.159180625,0.110148223,0.875339302,0.874165112,0.125834888,-23.35959568,0.027605845,0.197693374,1.189367621,0.131242424,0.649016322,2.420669111,0.663868601,0.131242424,7.946921702,0.177713389,0.177713389,0.170391126,0.140389379,135.6761923,1.297095641,6.849616816
